"Unit","Time","PC","Value"
"5",15,"PC1",162.299667955848
"5",15,"PC2",194.926955909541
"5",16,"PC1",174.386894125434
"5",16,"PC2",211.974581784708
"5",17,"PC1",185.53373472005
"5",17,"PC2",227.265318692884
"5",18,"PC1",197.106121043221
"5",18,"PC2",243.661019402454
"5",19,"PC1",209.181266737826
"5",19,"PC2",261.391109905716
"5",20,"PC1",221.322410833606
"5",20,"PC2",280.212154459778
"6",0,"PC1",0
"6",0,"PC2",0
"6",1,"PC1",6.49526259329278
"6",1,"PC2",7.14411236545483
"6",2,"PC1",13.64049101969
"6",2,"PC2",17.1627967972623
"6",3,"PC1",21.9312748182404
"6",3,"PC2",28.6530872334335
"6",4,"PC1",30.4145622093378
"6",4,"PC2",41.660924916402
"6",5,"PC1",38.9035442238316
"6",5,"PC2",55.462996185576
"6",6,"PC1",47.3109736974685
"6",6,"PC2",69.3513649183516
"6",7,"PC1",56.2652219108469
"6",7,"PC2",83.8077832763517
"6",8,"PC1",65.5167753326469
"6",8,"PC2",98.4480428915031
"6",9,"PC1",74.9321303167779
"6",9,"PC2",113.809604685199
"6",10,"PC1",84.271174616638
"6",10,"PC2",128.559175766594
"6",11,"PC1",93.3924160028211
"6",11,"PC2",144.182978830548
"6",12,"PC1",102.759297201593
"6",12,"PC2",159.61748565533
"6",13,"PC1",112.454176121499
"6",13,"PC2",175.283247952357
"6",14,"PC1",122.161406951213
"6",14,"PC2",191.510181671849
"6",15,"PC1",131.414165424758
"6",15,"PC2",208.347524355865
"6",16,"PC1",140.923479704383
"6",16,"PC2",225.629466262646
"6",17,"PC1",150.577354012761
"6",17,"PC2",241.711822084085
"6",18,"PC1",160.848961060103
"6",18,"PC2",259.350672203071
"6",19,"PC1",169.689558553216
"6",19,"PC2",277.221076461609
"6",20,"PC1",177.982237752146
"6",20,"PC2",295.523546678458
"7",0,"PC1",0
"7",0,"PC2",0
"7",1,"PC1",8.7737364042016
"7",1,"PC2",9.58057365445492
"7",2,"PC1",17.2863738097545
"7",2,"PC2",20.289318695946
"7",3,"PC1",26.7786602253961
"7",3,"PC2",32.4084619410414
"7",4,"PC1",35.9240910056219
"7",4,"PC2",47.2974027068559
"7",5,"PC1",46.2900956525548
"7",5,"PC2",60.492018056939
"7",6,"PC1",54.7614827141313
"7",6,"PC2",74.5882193617057
"7",7,"PC1",63.7573855585316
"7",7,"PC2",89.0295023804496
"7",8,"PC1",74.3110861868047
"7",8,"PC2",105.30084489274
"7",9,"PC1",84.9214945768413
"7",9,"PC2",122.932807186994
"7",10,"PC1",94.57614752264
"7",10,"PC2",142.010448923655
"7",11,"PC1",105.590006635211
"7",11,"PC2",157.828328419362
"7",12,"PC1",115.141378252651
"7",12,"PC2",173.953711923836
"7",13,"PC1",125.624809826358
"7",13,"PC2",193.068929042483
"7",14,"PC1",135.67902734068
"7",14,"PC2",209.659758139217
"7",15,"PC1",147.208015606345
"7",15,"PC2",226.29491548831
"7",16,"PC1",158.821932457814
"7",16,"PC2",246.891967047547
"7",17,"PC1",171.301740677688
"7",17,"PC2",265.991954854243
"7",18,"PC1",183.797412736088
"7",18,"PC2",282.352839738761
"7",19,"PC1",193.488004858851
"7",19,"PC2",301.204189978969
"7",20,"PC1",204.800700979562
"7",20,"PC2",320.608666531611
"8",0,"PC1",0
"8",0,"PC2",0
"8",1,"PC1",4.97335263596625
"8",1,"PC2",6.69809419430548
"8",2,"PC1",13.7639431677669
"8",2,"PC2",23.7397815985535
"8",3,"PC1",18.5067013861893
"8",3,"PC2",35.5640006048503
"8",4,"PC1",26.8101372648664
"8",4,"PC2",47.5696766208179
"8",5,"PC1",32.7236359749497
"8",5,"PC2",61.0321760242175
"8",6,"PC1",42.1486473058516
"8",6,"PC2",72.9543162989547
"8",7,"PC1",49.8152561192254
"8",7,"PC2",87.917482485556
"8",8,"PC1",57.6869332730681
"8",8,"PC2",103.85583327687
"8",9,"PC1",66.3718480173337
"8",9,"PC2",121.258155997196
"8",10,"PC1",74.4000730111526
"8",10,"PC2",136.469388600254
"8",11,"PC1",86.326950409954
"8",11,"PC2",149.460347051269
"8",12,"PC1",93.9083118097253
"8",12,"PC2",163.632230239061
"8",13,"PC1",102.072255476086
"8",13,"PC2",179.276505151799
"8",14,"PC1",110.785926425405
"8",14,"PC2",199.49248055712
"8",15,"PC1",118.431240197671
"8",15,"PC2",209.013805998253
"8",16,"PC1",127.181824485338
"8",16,"PC2",226.96309969453
"8",17,"PC1",132.112415973431
"8",17,"PC2",241.14894474089
"8",18,"PC1",138.222875534861
"8",18,"PC2",259.480599761094
"8",19,"PC1",145.392273343467
"8",19,"PC2",277.117848166907
"8",20,"PC1",152.962461588571
"8",20,"PC2",289.603540970413
"9",0,"PC1",0
"9",0,"PC2",0
"9",1,"PC1",5.7006615657215
"9",1,"PC2",7.11035764610785
"9",2,"PC1",11.6034509314206
"9",2,"PC2",15.7345738884645
"9",3,"PC1",18.8972787806665
"9",3,"PC2",27.2378187448049
"9",4,"PC1",25.7431126296187
"9",4,"PC2",38.2892533631021
"9",5,"PC1",33.8304493499265
"9",5,"PC2",49.304697850531
"9",6,"PC1",41.4263121475776
"9",6,"PC2",62.141345357719
"9",7,"PC1",49.8315420590308
"9",7,"PC2",74.0265606890422
"9",8,"PC1",57.7096586812158
"9",8,"PC2",86.418645621379
"9",9,"PC1",65.4408373646831
"9",9,"PC2",98.1784820584515
"9",10,"PC1",73.6205828459957
"9",10,"PC2",111.760715725594
"9",11,"PC1",81.8358663416555
"9",11,"PC2",126.513570139362
"9",12,"PC1",89.6454652439789
"9",12,"PC2",139.894206114911
"9",13,"PC1",98.0241879041281
"9",13,"PC2",154.281625051996
"9",14,"PC1",106.389891657342
"9",14,"PC2",168.248559711054
"9",15,"PC1",115.227075200888
"9",15,"PC2",183.466369016322
"9",16,"PC1",123.678712153817
"9",16,"PC2",198.72929535184
"9",17,"PC1",132.470148883956
"9",17,"PC2",213.876158407744
"9",18,"PC1",140.792852866547
"9",18,"PC2",230.297420454139
"9",19,"PC1",150.036639191851
"9",19,"PC2",245.926408439168
"9",20,"PC1",158.973617106441
"9",20,"PC2",260.332576444863
"10",0,"PC1",0
"10",0,"PC2",0
"10",1,"PC1",6.52517343085955
"10",1,"PC2",7.52528658976156
"10",2,"PC1",13.6544882132083
"10",2,"PC2",17.1446333311223
"10",3,"PC1",21.6714509215846
"10",3,"PC2",28.3356145930992
"10",4,"PC1",29.7383964911176
"10",4,"PC2",38.8786736888001
"10",5,"PC1",37.3808752838237
"10",5,"PC2",51.8054850439963
"10",6,"PC1",44.5994777059678
"10",6,"PC2",65.6602907152092
"10",7,"PC1",52.6396450427819
"10",7,"PC2",78.4699153398479
"10",8,"PC1",61.3306125195681
"10",8,"PC2",92.6149545405292
"10",9,"PC1",70.1358933424631
"10",9,"PC2",105.092207283742
"10",10,"PC1",78.416885862254
"10",10,"PC2",122.396670442007
"10",11,"PC1",84.6604751474496
"10",11,"PC2",137.238978590042
"10",12,"PC1",92.7037049667467
"10",12,"PC2",153.909317798818
"10",13,"PC1",101.352985786456
"10",13,"PC2",169.416512060255
"10",14,"PC1",109.089730791053
"10",14,"PC2",186.108613943158
"10",15,"PC1",118.938004922452
"10",15,"PC2",203.419442993946
"10",16,"PC1",127.831249504644
"10",16,"PC2",220.132402854409
"10",17,"PC1",136.645479092114
"10",17,"PC2",235.843793628137
"10",18,"PC1",145.670124508601
"10",18,"PC2",252.516488633836
"10",19,"PC1",156.335037536714
"10",19,"PC2",269.816271618893
"10",20,"PC1",165.565962816556
"10",20,"PC2",284.900315636975
"11",0,"PC1",0
"11",0,"PC2",0
"11",1,"PC1",6.8523132522796
"11",1,"PC2",5.64865799060969
"11",2,"PC1",15.4235663170218
"11",2,"PC2",12.984730974268
"11",3,"PC1",24.4922656592734
"11",3,"PC2",22.7370963504471
"11",4,"PC1",32.8029176928468
"11",4,"PC2",30.2272717399603
"11",5,"PC1",41.3244878890922
"11",5,"PC2",41.6967815678291
"11",6,"PC1",51.1161563097678
